OPPerations - Logistics (2),12247
OPPerations - LT Liaison,19513
OPPerations - Recycling Events Coordinator,27886
OPPerations - Rules & Regulations Liaison,21870
OPPerations - Set Up / Tear Down (1),30185
OPPerations - Set Up / Tear Down (2),9376
OPPerations - Supply Logistics Liaison,7579
OPPerations - Sustainbility,15434
OPPerations - Timeline Management,38808
OPPerations - Ultimate Liaison,8781
Orchesis Dance Company,24951
Oriana Singers,8846
Orthodox Christian Fellowship,15580
Outing Club,7933
Parmi Nous Society,9003
Passion With Purpose,12523
Penn College of Technology,15172
Penn State Cheerleading Team,6690
Penn State Economics Association,10210
Penn State Fitness Instructors,27160
Penn State Investment Association (PSIA),21415
Penn State Lion Scouts,7375
Penn State Lyrical Line,35451
Penn State Rugby,29394
Phi Beta Lambda,25965
Phi Chi Theta,24672
Phi Eta Sigma,35096
Phi Gamma Nu,14374
Phi Sigma Pi,19771
Phoenix,10576
Pi Mu Mu,23964
Pillar,37468
Pink Ribbon Club,18601
Pre-Medical Society,16956
Pre-Vet Club,7718
Professional Golf Management,20849
Professional Management Association,37088
Psi Chi - The International Honor Society in Psychology,9503
PSU CrossFit Club,26542
Public Relations Photography Committee,13516
Public Relations Production Development,21889
Public Relations Promotions Committee 1,39865
Public Relations Promotions Committee 2,13689
Public Relations Student Society of America (PRSSA),10178
R&R Alt Fund 1,13695
R&R Alt Fund 2,7429
R&R Alt Fund 3,27747
R&R Alt Fund 4,15714
R&R Alt Fund 5,39870
R&R CMs,18698
R&R ES Admin,9119
R&R ES EMS/SL Liaison,12244
R&R ES ENT/PR Liaison,34577
R&R ES Head of Pass,30243
R&R ES Head of Security,28426
R&R ES Pass Team 1,10536
R&R ES Pass Team 2,26299
R&R ES Pass Team 3,36191
R&R ES Pass Team 4,37117
R&R ES Pass Team 5,31272
R&R ES Pass Team 6,28580
R&R ES Pass Team 7,12703
R&R ES PR/FR Liaison,28740
R&R ES PRYB Liaison,29769
R&R ES Security Team 1,38856
R&R ES Security Team 2,35219
R&R ES Security Team 3,27825
R&R ES Security Team 4,30055
R&R ES Security Team 5,37103
R&R ES T&D,14248
R&R ES Timeline,7421
R&R Revamp 1,20664
R&R Revamp 2,15981
R&R Security Team 6,7268
R&R Volunteer Safety 1,35821
R&R Volunteer Safety 2,5244
R&R Volunteer Safety 3,26982
R&R Volunteer Safety 4,37659
R&R VS Administrative Assistant & Committee Relations,37952
R&R VS Alt Fund 1,21029
R&R VS Alt Fund 2,27943
R&R VS Alt Fund 3,31847
R&R VS Alt Fund 4,27428
R&R VS Alt Fund 5,37351
R&R VS Fundraising Outreach,16085
R&R VS Fundraising Safety 1,27703
R&R VS Fundraising Safety 2,26084
R&R VS Fundraising Safety 3,39753
r&R VS Fundraising Safety 3,7514
R&R VS Fundraising Safety 4,30806
r&R VS Fundraising Safety 4,19257
R&R VS Fundraising Safety 5,32876
r&R VS Fundraising Safety 5,28852
R&R VS Fundraising Safety 6,5583
r&R VS Fundraising Safety 6,31912
R&R VS PRYB Liaison,12063
R&R VS Security 1,39382
R&R VS Security 2,20311
R&R VS Training & Development,13019
Raw Aesthetics Movements,39704
RECREATION PARK AND TOURISM MANAGEMENT STUDENT SOCIETY,37783
Reformed University Fellowship,23783
Reve Dance Company,13394
Sample Organization,32542
Sapphire Leadership Program,21147
Saudi Arabian Student Association,6897
School of Hospitality Management THON Committee,20447
School of Theatre THON Organization,30681
Schreyer Honors College Student Council,20619
Schuylkill,19641
Science LionPride,7041
SE - Creative Inspiration #1,27673
SE - Creative Inspiration #2,37559
SE - Creative Inspiration #3,12844
SE - Creative Inspiration #4,25844
ServeState: Students for Philanthropy,19011
Shenango,26708
Sikh Student Association,39761
Silver Wings,20180
Singing Lions,33444
Ski Team,33328
Skull and Bones Society,24824
Smeal LeaderSHIP (Students Helping to Integrate Professionalism),22614
Smeal MBA Program,12889
Smeal Student Council,14807
Smeal Student Mentors,21082
Society for Human Resource Management-Society of Labor and Employment Relations (SHRM-SLER),37988
Society of Women Engineers,12289
Songwriters Club,38663
South Asian Student Association,18543
Spanish Club,23793
Sports Business Club,25508
Springfield,38314
Student Athlete Advisory Board (SAAB),38212
Student Athletic Training Club,32238
Student Council for Exceptional Children,7397
Student Minority Advisory and Recruitment Team (SMART),5385
Student National Medical Association,10842
Student Nursing Association of Pennsylvania (SNAP),25413
Student Nutrition Association,15357
Student Pennsylvania State Education Association,32676
Student Red Cross Club,10340
Student Society of Architectural Engineers,7417
Student United Way,6158
Students of S.H.I.E.L.D (The Marvel Club),35255
Supply Logistics/Hospitality Liaison,29467
Taiwanese American Student Association (TASA),15246
Tapestry Dance Company,25455
Tetra,8466
The Bridge Initiative - Penn State,39857
Theme Park Engineering Group,23678
Thespians,13279
THON Communications,5865
THON Dancer Relations,39475
THON Donor & Alumni Relations Alumni Engagement,23248
THON Donor & Alumni Relations Development,28915
THON Donor and Alumni Relations,27390
THON Entertainment,8481
THON Family Relations,39782
THON Finance,37847
THON Hospitality,23245
THON Merchandise,13993
THON OPPerations,8744
THON Public Relations,12015
THON R&R Event Safety,12187
THON R&R Volunteer Safety,5515
THON Special Events,22985
THON Supply Logistics,22367
THON Technology,24017
THON Weekend Development (1),30795
THON Weekend Development (2),18182
Timeline Logistics,29646
Training & Development,10216
Tri-STATE,21543
Trilogy,11545
VIETNAMESE STUDENT ASSOCIATION,30550
Vole (Ballet),8762
Whiplash Dance Team,39906
Wilkes-Barre,6002
Women in Business,11815
Womens Club Basketball,34179
Womens Club Lacrosse,9685
Womens Club Soccer,34284
Womens Club Ultimate Frisbee,39375
Womens Club Volleyball,16930
Womens Club Water Polo,6204
Womens Ice Hockey,14932
Worthington Scranton,18600
York,12250
Acacia,25231
Alpha Chi Omega,10377
Alpha Chi Rho,19712
Alpha Delta Phi,12439
Alpha Delta Pi,19739
Alpha Epsilon Pi,20770
Alpha Gamma Rho,39689
Alpha Kappa Delta Phi,38621
Alpha Kappa Lambda,23245
Alpha Omicron Pi,6332
Alpha Phi,18529
Alpha Rho Chi,32829
Alpha Sigma Alpha,10214
Alpha Sigma Phi,15459
Alpha Tau Omega,18442
Alpha Xi Delta,39162
Alpha Zeta,22493
Beta Sigma Beta,10806
Beta Theta Pi,34453
Chi Phi,18585
Chi Upsilon Sigma,5868
Delta Chi,36023
Delta Gamma,19096
Delta Kappa Epsilon,5752
Delta Sigma Iota,22768
Delta Sigma Phi,6721
Delta Tau Delta,12221
Delta Theta Sigma,8013
Delta Upsilon,30713
Delta Zeta,30647
Gamma Phi Beta,9531
Gamma Sigma Sigma,36480
Iota Nu Delta,16461
Kappa Alpha Theta,8847
Kappa Delta,10303
Kappa Kappa Gamma,26774
Kappa Sigma,37835
Lambda Chi Alpha,21999
Lambda Phi Epsilon,35745
Omega Phi Alpha,22727
Phi Gamma Delta,23969
Phi Kappa Psi,23793
Phi Kappa Sigma,9706
Phi Kappa Theta,24959
Phi Mu,5237
Phi Mu Delta,21566
Phi Sigma Kappa,32939
Phi Sigma Phi,22894
Phi Sigma Rho,21269
Phi Sigma Sigma,38085
Pi Beta Phi,30754
Pi Delta Psi,13326
Pi Kappa Alpha,14431
Pi Lambda Phi,32577
Sigma Alpha,31875
Sigma Alpha Epsilon,26238
Sigma Alpha Mu,21766
Sigma Chi,8769
Sigma Delta Tau,8364
Sigma Kappa,34062
Sigma Nu,35739
Sigma Omicron Pi,32834
Sigma Phi Epsilon,22890
Sigma Pi,24091
Sigma Sigma Rho,23235
Sigma Tau Gamma,14724
Tau Kappa Epsilon,5101
Tau Phi Delta,30197
Theta Chi,28028
Theta Delta Chi,12483
Triangle,8738
Zeta Beta Tau,19438
Zeta Psi,29463
Zeta Tau Alpha,35603
